search_parameter,conditions,description,year,language,repos_by_lang_t1,repos_by_lang_t2,repos_by_lang_t3,repos_t2,issues_t2,users_t2,repos_t3,issues_t3,users_t3
created:2012-01-01..2012-12-31,fork:true,return repos including forks,2012,Shell,44447,44448,44308,2198902,1887843,1291883,2191068,1883597,1290357
created:2013-01-01..2013-12-31,fork:true,return repos including forks,2013,Javascript,934853,934838,928515,4969181,4053561,2542686,4932155,4026432,2538967
created:2013-01-01..2013-12-31,fork:true,return repos including forks,2013,Java,505835,505817,502898,4969181,4053561,2542686,4932155,4026432,2538967
created:2013-01-01..2013-12-31,fork:true,return repos including forks,2013,Ruby,445307,445289,441687,4969181,4053561,2542686,4932155,4026432,2538967
created:2013-01-01..2013-12-31,fork:true,return repos including forks,2013,Python,352802,352790,350848,4969181,4053561,2542686,4932155,4026432,2538967
created:2013-01-01..2013-12-31,fork:true,return repos including forks,2013,PHP,339226,339210,336859,4969181,4053561,2542686,4932155,4026432,2538967
created:2013-01-01..2013-12-31,fork:true,return repos including forks,2013,C,205810,205771,203928,4969181,4053561,2542686,4932155,4026432,2538967
created:2013-01-01..2013-12-31,fork:true,return repos including forks,2013,Objective-C,174559,174553,173738,4969181,4053561,2542686,4932155,4026432,2538967
created:2013-01-01..2013-12-31,fork:true,return repos including forks,2013,C++,171787,171776,170760,4969181,4053561,2542686,4932155,4026432,2538967
created:2013-01-01..2013-12-31,fork:true,return repos including forks,2013,CSS,148957,148955,147974,4969181,4053561,2542686,4932155,4026432,2538967
created:2013-01-01..2013-12-31,fork:true,return repos including forks,2013,C#,108532,108531,108027,4969181,4053561,2542686,4932155,4026432,2538967
