year,quarter,repository_language,pushes_by_lang
2013,1,XML,3193
2013,1,HaXe,3021
2013,1,F#,3016
2013,1,Verilog,2965
2013,1,Logos,2800
2013,1,VHDL,2427
2013,1,TypeScript,2315
2013,1,Tcl,1874
2013,1,Smalltalk,1769
2013,1,Vala,1492
2013,1,Elixir,1444
2013,1,Objective-J,1233
2013,1,Standard ML,1231
2013,1,Haxe,1217
2013,1,Coq,1079
2013,1,OpenEdge ABL,1020
2013,1,Factor,1015
2013,1,Lasso,1005
2013,1,Processing,984
2013,1,Ada,973
2013,1,AutoHotkey,802
2013,1,Apex,791
2013,1,Eiffel,789
2013,1,ooc,683
2013,1,DOT,603
2013,1,XQuery,576
2013,1,AppleScript,574
2013,1,Scilab,504
2013,1,Kotlin,463
2013,1,Parrot,446
2013,1,Pure Data,397
2013,1,DCPU-16 ASM,385
2013,1,Nemerle,382
2013,1,SuperCollider,381
2013,1,Logtalk,320
2013,1,Gosu,295
2013,1,LiveScript,275
2013,1,Io,268
2013,1,Dylan,265
2013,1,Ceylon,214
2013,1,Boo,188
2013,1,Rebol,187
2013,1,Xtend,114
2013,1,Awk,113
2013,1,Self,106
2013,1,Augeas,97
2013,1,Bro,95
2013,1,Nimrod,90
2013,1,Max,85
2013,1,CLIPS,82
2013,1,Turing,80
2013,1,Ecl,59
2013,1,Monkey,58
2013,1,eC,51
2013,1,Ioke,43
2013,1,Fancy,40
2013,1,Fantom,38
2013,1,Arc,35
2013,1,Mirah,32
2013,1,Opa,21
2013,1,Nu,13
2013,1,PogoScript,9
2013,1,Forth,9
2013,1,Pike,8
2013,1,Ragel in Ruby Host,2
2013,1,TXL,1
2013,1,Max/MSP,1
2013,2,JavaScript,1983410
2013,2,Java,1214748
2013,2,null,1017449
2013,2,Ruby,922507
2013,2,Python,858116
2013,2,PHP,810422
2013,2,C++,576424
2013,2,C,492199
2013,2,Shell,298167
2013,2,C#,221462
2013,2,Objective-C,155144
2013,2,Perl,103920
2013,2,VimL,100214
2013,2,CoffeeScript,65023
2013,2,Scala,62424
2013,2,Go,52012
2013,2,Emacs Lisp,45547
2013,2,Haskell,40852
2013,2,Lua,39779
2013,2,Clojure,35846
2013,2,R,30786
