year,quarter,repository_language,pushes_by_lang
2013,1,SuperCollider,356
2013,1,Nemerle,337
2013,1,Pure Data,330
2013,1,Logtalk,320
2013,1,Kotlin,313
2013,1,DCPU-16 ASM,293
2013,1,Gosu,281
2013,1,LiveScript,274
2013,1,Io,251
2013,1,Rebol,176
2013,1,Boo,166
2013,1,Dylan,142
2013,1,Ceylon,138
2013,1,Awk,113
2013,1,Xtend,112
2013,1,Bro,93
2013,1,Self,89
2013,1,Max,85
2013,1,CLIPS,77
2013,1,Turing,77
2013,1,Nimrod,57
2013,1,Monkey,54
2013,1,Ecl,48
2013,1,Ioke,43
2013,1,eC,41
2013,1,Fancy,40
2013,1,Fantom,38
2013,1,Augeas,36
2013,1,Mirah,32
2013,1,Arc,30
2013,1,Opa,21
2013,1,Nu,13
2013,1,PogoScript,9
2013,1,Pike,8
2013,1,Forth,8
2013,1,Ragel in Ruby Host,2
2013,1,TXL,1
2013,1,Max/MSP,1
2013,2,JavaScript,1744592
2013,2,Java,1020943
2013,2,null,972257
2013,2,Ruby,775938
2013,2,Python,698750
2013,2,PHP,693663
2013,2,C++,476566
2013,2,C,367161
2013,2,Shell,243189
2013,2,C#,197809
2013,2,Objective-C,132997
2013,2,VimL,90691
2013,2,Perl,87939
2013,2,CoffeeScript,56424
2013,2,Scala,50716
2013,2,Go,45426
2013,2,Emacs Lisp,38326
2013,2,Haskell,36488
2013,2,Lua,33543
2013,2,Clojure,31225
2013,2,Matlab,29064
2013,2,R,28540
2013,2,Groovy,19698
2013,2,Standard ML,18458
2013,2,ActionScript,16701
2013,2,Puppet,16268
2013,2,Erlang,15312
2013,2,Logos,14245
2013,2,Arduino,9705
2013,2,OCaml,8964
2013,2,ASP,8659
2013,2,Common Lisp,8034
2013,2,Dart,8010
2013,2,TypeScript,7752
2013,2,Scheme,7596
2013,2,Delphi,7543
2013,2,D,7490
2013,2,Processing,7460
2013,2,XML,7256
2013,2,Visual Basic,6801
2013,2,Assembly,6523
2013,2,Haxe,5750
2013,2,FORTRAN,5666
2013,2,Racket,5380
2013,2,Rust,4958
2013,2,PowerShell,4906
2013,2,Prolog,4849
2013,2,Julia,4688
2013,2,ColdFusion,4073
2013,2,F#,3704
2013,2,Verilog,3559
2013,2,VHDL,3210
2013,2,DOT,3124
2013,2,Coq,2444
2013,2,Elixir,2263
2013,2,XSLT,1998
2013,2,Tcl,1917
2013,2,AutoHotkey,1675
2013,2,Smalltalk,1493
2013,2,Vala,1481
2013,2,SuperCollider,1407
2013,2,Ada,1233
2013,2,Lasso,1148
2013,2,Apex,1064
2013,2,OpenEdge ABL,1056
2013,2,LiveScript,993
2013,2,Pure Data,795
2013,2,Eiffel,732
2013,2,Factor,712
2013,2,Objective-J,601
2013,2,AppleScript,543
2013,2,Awk,515
2013,2,HaXe,473
2013,2,Parrot,438
2013,2,Scilab,419
2013,2,Io,411
2013,2,Nimrod,399
2013,2,XQuery,369
2013,2,Nemerle,335
2013,2,Gosu,295
2013,2,Xtend,286
2013,2,Kotlin,263
2013,2,DCPU-16 ASM,233
2013,2,Boo,220
2013,2,Logtalk,211
2013,2,M,197
2013,2,Rebol,182
2013,2,MoonScript,175
2013,2,ooc,171
2013,2,Nu,149
2013,2,Dylan,148
2013,2,Monkey,148
2013,2,Turing,142
2013,2,Arc,140
2013,2,Ceylon,137
2013,2,CLIPS,118
2013,2,Ragel in Ruby Host,83
2013,2,Forth,81
2013,2,Ecl,77
2013,2,Max,71
2013,2,Augeas,55
2013,2,PogoScript,49
2013,2,Pike,41
2013,2,Fancy,38
2013,2,Fantom,37
2013,2,Ioke,32
2013,2,Bro,27
2013,2,Opa,24
2013,2,XProc,19
2013,2,eC,18
2013,2,Rouge,13
2013,2,Mirah,8
2013,2,ABAP,6
2013,2,wisp,4
2013,2,Omgrofl,2
2013,3,JavaScript,1601198
